x,cordic_step,cordic_sigmoid,cordic_tanh,cordic_relu
-5.0,0.0000,0.0082,-1.0268,0.0000
-4.9,0.0000,0.0090,-1.0268,0.0000
-4.8,0.0000,0.0100,-1.0268,0.0000
-4.7,0.0000,0.0110,-1.0267,0.0000
-4.6,0.0000,0.0121,-1.0267,0.0000
-4.5,0.0000,0.0134,-1.0267,0.0000
-4.4,0.0000,0.0148,-1.0266,0.0000
-4.3,0.0000,0.0164,-1.0266,0.0000
-4.2,0.0000,0.0180,-1.0266,0.0000
-4.1,0.0000,0.0200,-1.0265,0.0000
-4.0,0.0000,0.0219,-1.0264,0.0000
-3.9,0.0000,0.0243,-1.0263,0.0000
-3.8,0.0000,0.0267,-1.0262,0.0000
-3.7,0.0000,0.0295,-1.0261,0.0000
-3.6,0.0000,0.0325,-1.0258,0.0000
-3.5,0.0000,0.0357,-1.0257,0.0000
-3.4,0.0000,0.0395,-1.0254,0.0000
-3.3,0.0000,0.0433,-1.0250,0.0000
-3.2,0.0000,0.0478,-1.0246,0.0000
-3.1,0.0000,0.0526,-1.0241,0.0000
-3.0,0.0000,0.0579,-1.0236,0.0000
-2.9,0.0000,0.0636,-1.0228,0.0000
-2.8,0.0000,0.0700,-1.0220,0.0000
-2.7,0.0000,0.0768,-1.0209,0.0000
-2.6,0.0000,0.0842,-1.0196,0.0000
-2.5,0.0000,0.0924,-1.0179,0.0000
-2.4,0.0000,0.1013,-1.0160,0.0000
-2.3,0.0000,0.1111,-1.0136,0.0000
-2.2,0.0000,0.1215,-1.0106,0.0000
-2.1,0.0000,0.1329,-1.0070,0.0000
-2.0,0.0000,0.1452,-1.0025,0.0000
-1.9,0.0000,0.1583,-0.9970,0.0000
-1.8,0.0000,0.1725,-0.9904,0.0000
-1.7,0.0000,0.1878,-0.9821,0.0000
-1.6,0.0000,0.2040,-0.9721,0.0000
-1.5,0.0000,0.2214,-0.9598,0.0000
-1.4,0.0000,0.2399,-0.9447,0.0000
-1.3,0.0000,0.2594,-0.9262,0.0000
-1.2,0.0000,0.2800,-0.9036,0.0000
-1.1,0.0000,0.3016,-0.8758,0.0000
-1.0,0.0000,0.3243,-0.8421,0.0000
-0.9,0.0000,0.3479,-0.8013,0.0000
-0.8,0.0000,0.3722,-0.7520,0.0000
-0.7,0.0000,0.3975,-0.6934,0.0000
-0.6,0.0000,0.4235,-0.6243,0.0000
-0.5,0.0000,0.4499,-0.5441,0.0000
-0.4,0.0000,0.4768,-0.4525,0.0000
-0.3,0.0000,0.5038,-0.3505,0.0000
-0.2,0.0000,0.5310,-0.2393,0.0000
-0.1,0.0000,0.5582,-0.1215,0.0000
0.0,1.0269,0.5850,0.0000,0.0000
0.1,1.0269,0.6116,0.1215,0.1218
0.2,1.0269,0.6377,0.2393,0.2425
0.3,1.0269,0.6631,0.3505,0.3606
0.4,1.0269,0.6877,0.4525,0.4752
0.5,1.0269,0.7115,0.5441,0.5850
0.6,1.0269,0.7343,0.6243,0.6891
0.7,1.0269,0.7560,0.6934,0.7861
0.8,1.0269,0.7768,0.7520,0.8754
0.9,1.0269,0.7963,0.8013,0.9559
1.0,1.0269,0.8148,0.8421,1.0269
1.1,1.0269,0.8321,0.8758,1.0876
1.2,1.0269,0.8483,0.9036,1.1374
1.3,1.0269,0.8633,0.9262,1.1758
1.4,1.0269,0.8773,0.9447,1.2026
1.5,1.0269,0.8902,0.9598,1.2173
1.6,1.0269,0.9022,0.9721,1.2198
1.7,1.0269,0.9132,0.9821,1.2101
1.8,1.0269,0.9233,0.9904,1.2022
1.9,1.0269,0.9326,0.9970,1.2022
2.0,1.0269,0.9412,1.0025,1.2022
2.1,1.0269,0.9490,1.0070,1.2022
2.2,1.0269,0.9561,1.0106,1.2022
2.3,1.0269,0.9626,1.0136,1.2022
2.4,1.0269,0.9685,1.0160,1.2022
2.5,1.0269,0.9739,1.0179,1.2022
2.6,1.0269,0.9789,1.0196,1.2022
2.7,1.0269,0.9834,1.0209,1.2022
2.8,1.0269,0.9874,1.0220,1.2022
2.9,1.0269,0.9911,1.0228,1.2022
3.0,1.0269,0.9944,1.0236,1.2022
3.1,1.0269,0.9975,1.0241,1.2022
3.2,1.0269,1.0003,1.0246,1.2022
3.3,1.0269,1.0027,1.0250,1.2022
3.4,1.0269,1.0050,1.0254,1.2022
3.5,1.0269,1.0071,1.0257,1.2022
3.6,1.0269,1.0090,1.0258,1.2022
3.7,1.0269,1.0107,1.0261,1.2022
3.8,1.0269,1.0122,1.0262,1.2022
3.9,1.0269,1.0136,1.0263,1.2022
4.0,1.0269,1.0148,1.0264,1.2022
4.1,1.0269,1.0160,1.0265,1.2022
4.2,1.0269,1.0170,1.0266,1.2022
4.3,1.0269,1.0179,1.0266,1.2022
4.4,1.0269,1.0188,1.0266,1.2022
4.5,1.0269,1.0196,1.0267,1.2022
4.6,1.0269,1.0202,1.0267,1.2022
4.7,1.0269,1.0209,1.0267,1.2022
4.8,1.0269,1.0215,1.0268,1.2022
4.9,1.0269,1.0220,1.0268,1.2022
5.0,1.0269,1.0224,1.0268,1.2022
